Count,Country,State,City,Zip Code,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Service Count,Charge Category,Tenure Group,Avg Monthly Spend,High Value Customer,Family Customer,Long Term Customer,Internet User
1,United States,California,Los Angeles,90003,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,3239,4,Medium,New,54.075,0,0,0,1
1,United States,California,Los Angeles,90005,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,2701,2,High,New,75.825,0,0,0,1
1,United States,California,Los Angeles,90006,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,5372,6,High,New,102.5625,1,0,0,1
1,United States,California,Los Angeles,90010,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,5003,7,High,Loyal,108.7875,1,1,1,1
1,United States,California,Los Angeles,90015,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,5340,7,High,Very Loyal,102.78163265306122,1,0,1,1
1,United States,California,Los Angeles,90020,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,5925,4,Medium,New,52.835,1,0,0,1
1,United States,California,Los Angeles,90022,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,5433,3,Medium,New,39.65,1,0,0,1
1,United States,California,Los Angeles,90024,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,4832,1,Low,New,20.15,1,0,0,0
1,United States,California,Los Angeles,90028,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,5789,6,High,Loyal,101.04574468085106,1,1,1,1
1,United States,California,Los Angeles,90029,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,2915,2,Low,New,30.2,0,0,0,1
1,United States,California,Los Angeles,90032,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,3022,4,Medium,Regular,64.3,0,0,0,1
1,United States,California,Los Angeles,90039,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,2454,2,Medium,New,63.38,0,0,0,1
1,United States,California,Los Angeles,90041,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,2941,7,High,Loyal,104.38970588235294,0,0,1,1
1,United States,California,Los Angeles,90042,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,5674,6,High,New,100.4909090909091,1,0,0,1
1,United States,California,Los Angeles,90056,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,5586,3,High,New,72.075,1,0,0,1
1,United States,California,Los Angeles,90061,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,2966,6,High,Regular,95.09333333333332,0,0,0,1
1,United States,California,Los Angeles,90063,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,5302,4,High,New,79.1625,1,1,0,1
1,United States,California,Los Angeles,90065,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,3179,5,High,Regular,97.36388888888888,0,0,0,1
1,United States,California,Beverly Hills,90211,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,5571,5,High,New,95.25,1,0,0,1
1,United States,California,Huntington Park,90255,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,2483,3,High,New,79.35,0,0,0,1
1,United States,California,Lynwood,90262,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,3457,3,High,New,70.98571428571428,0,1,0,1
1,United States,California,Marina Del Rey,90292,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,5806,4,High,New,77.27916666666667,1,0,0,1
1,United States,California,Inglewood,90301,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,2604,1,Low,New,22.77,0,0,0,0
1,United States,California,Inglewood,90303,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,5337,6,High,Loyal,100.58,1,1,1,1
1,United States,California,Santa Monica,90403,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,5034,8,High,Very Loyal,111.93897058823528,1,0,1,1
1,United States,California,Torrance,90504,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,5154,6,High,Very Loyal,95.25272727272728,1,1,1,1
1,United States,California,Whittier,90602,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,2793,3,High,Loyal,77.51756756756757,0,1,1,1
1,United States,California,Whittier,90606,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,5998,6,High,New,106.465,1,1,0,1
1,United States,California,La Habra,90631,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,4415,3,High,New,76.51666666666667,0,0,0,1
1,United States,California,Pico Rivera,90660,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,4638,4,High,Loyal,79.0925925925926,1,0,1,1
